taxa	clade
A_chicken_Israel_1548_2006	G1-A
A_chicken_Israel_1638_2006	G1-A
A_chicken_Israel_386_2007	G1-A
A_chicken_Amur_Russia_17_2018	G1-A
A_chicken_Israel_215_2007	G1-A
A_chicken_Israel_1525_2006	G1-A
A_chicken_Lebanon_61_2017	G1-A
A_chicken_Lebanon_182_2017	G1-A
A_chicken_Lebanon_503_2017	G1-A
A_chicken_Israel_1167_2010	G1-A
A_chicken_Israel_1293_2010	G1-A
A_chicken_Israel_1184_2010	G1-A
A_chicken_Israel_1164_2011	G1-A
A_quail_Lebanon_273_2010	G1-A
A_quail_Lebanon_272_2010	G1-A
A_avian_Israel_313_2008	G1-A
A_avian_Israel_314_2008	G1-A
A_chicken_Israel_292_2008	G1-A
A_chicken_Israel_310_2008	G1-A
A_chicken_Israel_702_2008	G1-A
A_chicken_Israel_1033_2007	G1-A
A_chicken_Israel_694_2008	G1-A
A_chicken_Israel_524_2008	G1-A
A_chicken_Israel_951_2007	G1-A
A_chicken_Israel_330_2008	G1-A
A_turkey_Israel_900_2007	G1-A
A_turkey_Israel_689_2008	G1-A
A_chicken_Israel_1040_2007	G1-A
A_chicken_Jordan_436-2_2010	G1-A
A_chicken_Israel_184_2009	G1-A
A_chicken_Jordan_436-1_2010	G1-A
A_chicken_Israel_883_2008	G1-A
A_chicken_Israel_1205_2008	G1-A
A_chicken_Israel_32_2009	G1-A
A_chicken_Israel_933_2007	G1-A
A_chicken_Benin_19-A-06-835-E_20VIR6511-52_2019	G1-B
A_chicken_Benin_19-A-06-832-E_20VIR6511-51_2019	G1-B
A_chicken_Benin_19-A-06-822-E_20VIR6511-47_2019	G1-B
A_chicken_Benin_19-A-06-803-E_20VIR6511-39_2019	G1-B
A_duck_Benin_19-A-06-801-E_20VIR6511-1_2019	G1-B
A_chicken_Benin_19-A-06-808-E_20VIR6511-41_2019	G1-B
A_chicken_Togo_EC-122_2019	G1-B
A_chicken_Togo_EC-171_2019	G1-B
A_chicken_Togo_EC-54_2019	G1-B
A_chicken_Ashanti_18VIR1513-22_2018	G1-B
A_chicken_Burkina_Faso_17RS93-19_2017	G1-B
A_chicken_Benin_20-A-03-2026-E_20VIR6511-12_2020	G1-B
A_chicken_Benin_20-A-03-2027-E_20VIR6511-11_2020	G1-B
A_chicken_Benin_19-A-10-1339-E_20VIR6511-13_2019	G1-B
A_chicken_Benin_18-A-12-23-E_2018	G1-B
A_chicken_Benin_19-A-11-1478-E_20VIR6511-10_2019	G1-B
A_chicken_Benin_19-A-01-146-E_2019	G1-B
A_Layers_Senegal_17VIR4455-1_2017	G1-B
A_Senegal_0243_2019	G1-B
A_Layers_Senegal_17VIR4455-3_2017	G1-B
